SKU,Product Title,Product Type,Vendor,Price,Discounted Price,Collection,Color,Tags,Size,Images,Description,Size & Fit,Made in,Composition,Tissue
MAD214F066 D29625,WOOL AND SILK BLEND TURTLENECK SWEATER,Maglia c.alto,FABIANA FILIPPI,840.00,309.84,New Fall Winter 24 collection,Beige,"Maglia c.alto,Beige,New Fall Winter 24 collection","40,42,44","http://specialshop.atelier98.net/public/foto/fw24---fabiana%20filippi%20pre---mad214f066d29625.jpg,http://specialshop.atelier98.net/public/foto/fw24---fabiana%20filippi%20pre---mad214f066d29625_1_p.jpg,http://specialshop.atelier98.net/public/foto/fw24---fabiana%20filippi%20pre---mad214f066d29625_2_p.jpg,http://specialshop.atelier98.net/public/foto/fw24---fabiana%20filippi%20pre---mad214f066d29625_3_p.jpg,http://specialshop.atelier98.net/public/foto/fw24---fabiana%20filippi%20pre---mad214f066d29625_4_p.jpg","Cream white, knitted design, sequin decoration, ribbed turtleneck, long sleeves and ribbed hem and cuffs.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size 40 (IT),Italy,Virgin wool 48% Silk 20% Cashmere 17% Alpaca 11% Polyester 4%,WOOL SILK
246WCM125 J043001,MIDI DRESS IN RIBBED JERSEY - RUNWAY,Abito lungo s/m,THE ATTICO,"1.190,00","380,41",Spring Summer 24 Collection,Bianco,"Abito lungo s/m,Bianco,Spring Summer 24 Collection","38,40,42","http://specialshop.atelier98.net/public/foto/ss24---the%20attico%20main---246wcm125j043001.jpg,http://specialshop.atelier98.net/public/foto/ss24---the%20attico%20main---246wcm125j043001_1_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---the%20attico%20main---246wcm125j043001_2_p.jpg","White, cotton, ribbed, asymmetrical neckline, sleeveless and long design.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size 40 (IT),Italy,Cotton 100%,JERSEY
233SH042 1454100,THE BAHIA SHORT SHIRT,Camicia,JACQUEMUS,490.00,156.64,Spring Summer 24 Collection,Bianco,"Camicia,Bianco,Spring Summer 24 Collection","34,36,38","http://specialshop.atelier98.net/public/foto/ss24---jacquemus---233sh0421454100.jpg,http://specialshop.atelier98.net/public/foto/ss24---jacquemus---233sh0421454100_1_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---jacquemus---233sh0421454100_2_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---jacquemus---233sh0421454100_3_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---jacquemus---233sh0421454100_4_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---jacquemus---233sh0421454100_5_p.jpg","White, stretch cotton, asymmetric design, draped design, cropped design, point collar, long sleeves, button cuffs and elasticated hem at the back.",This item fits true to size. We suggest you take your size The model is 1.75m tall and wears size 36 (FR),Bulgaria,Synthetic->Spandex/Elastane6.0 % Natural (Veg)->Cotton94.0 %,COTTON
LECCO23MIDIDRESS BLACK/OFFWHITEPOIS,SILK POLKA DOT MIDI DRESS,Abito corto m/l,CRIDA,740.00,224.43,Fall Winter 23 Collection,Nero,"Abito corto m/l,Nero,Fall Winter 23 Collection",3,"http://specialshop.atelier98.net/public/foto/fw23---crida---lecco23mididressblack()offwhitepois.jpg,http://specialshop.atelier98.net/public/foto/fw23---crida---lecco23mididressblack()offwhitepois_1_p.jpg","Black dress, polka dots, white top, button fastening, long, buttons on the cuffs.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size 1 (NUM),Italy,SILK 100%,SILK
TM140353A TJP128BLACK,LONG MERMAID SKIRT,Gonna,THE ANDAMANE,265.00,93.40,Fall Winter 23 Collection,Nero,"Gonna,Nero,Fall Winter 23 Collection",44,"http://specialshop.atelier98.net/public/foto/fw23---the%20andamane%20main---tm140353atjp128black.jpg,http://specialshop.atelier98.net/public/foto/fw23---the%20andamane%20main---tm140353atjp128black_1_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---the%20andamane%20main---tm140353atjp128black_2_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---the%20andamane%20main---tm140353atjp128black_3_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---the%20andamane%20main---tm140353atjp128black_4_p.jpg",Black faux sheepskin gathered with curved hem detailing at mid rise and long waist,This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size 40 (IT),Italy,Polyester 55% Polyamide 45%,JERSEY
ATHENA SATINORANGE,ATHENA LONG SILK DRESS,Abito lungo s/m,THE NINA STUDIO,345.00,110.29,Spring Summer 24 Collection,Arancio,"Abito lungo s/m,Arancio,Spring Summer 24 Collection",S,"http://specialshop.atelier98.net/public/foto/ss24---the%20nina%20studio---athenasatinorange.jpg,http://specialshop.atelier98.net/public/foto/ss24---the%20nina%20studio---athenasatinorange_1_p.jpg","Long orange dress, V-neck, sleeveless with crossed straps on the back.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size S,Italy,Polyester 97% Elastane 3%,SILK
MAD214F066 D296825,WOOL AND SILK BLEND TURTLENECK SWEATER,Maglia c.alto,FABIANA FILIPPI,840.00,309.84,New Fall Winter 24 collection,Nero,"Maglia c.alto,Nero,New Fall Winter 24 collection",44,"http://specialshop.atelier98.net/public/foto/fw24---fabiana%20filippi%20pre---mad214f066d296825.jpg,http://specialshop.atelier98.net/public/foto/fw24---fabiana%20filippi%20pre---mad214f066d296825_1_p.jpg,http://specialshop.atelier98.net/public/foto/fw24---fabiana%20filippi%20pre---mad214f066d296825_2_p.jpg,http://specialshop.atelier98.net/public/foto/fw24---fabiana%20filippi%20pre---mad214f066d296825_3_p.jpg,http://specialshop.atelier98.net/public/foto/fw24---fabiana%20filippi%20pre---mad214f066d296825_4_p.jpg","Black, knitted design, sequin decoration, ribbed turtleneck, long sleeves and ribbed hem and cuffs.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size 40 (IT),Italy,Virgin wool 48% Silk 20% Cashmere 17% Alpaca 11% Polyester 4%,WOOL SILK
LWAG001R24JER001 0300,MONSOON TOP WITH FRINGES,Top,ALANUI,570.00,205.57,Spring Summer 24 Collection,Bianco,"Top,Bianco,Spring Summer 24 Collection",XS,"http://specialshop.atelier98.net/public/foto/ss24---alanui---lwag001r24jer0010300_1-p0.jpg,http://specialshop.atelier98.net/public/foto/ss24---alanui---lwag001r24jer0010300_1_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---alanui---lwag001r24jer0010300_2_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---alanui---lwag001r24jer0010300_3_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---alanui---lwag001r24jer0010300_4_p.jpg","Beige top with fringe, straps and black beads.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size S,Italy,"Cotton 70%, Linen 30%",COTTON LINEN
241DR094 1520100,THE MINI CHEMISE DRESS,Abito corto m/l,JACQUEMUS,690.00,209.26,Spring Summer 24 Collection,Bianco,"Abito corto m/l,Bianco,Spring Summer 24 Collection","38,40","http://specialshop.atelier98.net/public/foto/ss24---jacquemus---241dr0941520100.jpg,http://specialshop.atelier98.net/public/foto/ss24---jacquemus---241dr0941520100_1_p.jpg","White, cotton, asymmetric neckline, classic collar, D-rings, front button fastening, chest patch pocket, long sleeves, above the knee length and straight hem.",This item fits true to size. We suggest you take your size The model is 1.75m tall and wears size 36 (FR),Bulgaria,Natural (Veg)->Cotton100.0 %,COTTON
ALBAMIDIDRESS OFFWHITE/CARAMELPOIS,SILK POLKA DOT MIDI DRESS,Abito corto m/l,CRIDA,540.00,163.77,Fall Winter 23 Collection,Bianco,"Abito corto m/l,Bianco,Fall Winter 23 Collection","0,1,3","http://specialshop.atelier98.net/public/foto/fw23---crida---albamididressoffwhite()caramelpois.jpg,http://specialshop.atelier98.net/public/foto/fw23---crida---albamididressoffwhite()caramelpois_1_p.jpg","White dress, polka dots, button fastening, bow on the neck, long, hidden side pockets.",This item fits true to size. We suggest you take your size The model is 1.75m tall and wears size 1 (NUM),Italy,Silk 100%,SILK
D431539 PERFORM064,LONG ECO FUR COAT,Cappotto,PAROSH,490.00,192.79,Fall Winter 23 Collection,Tortora,"Cappotto,Tortora,Fall Winter 23 Collection",XS,"http://specialshop.atelier98.net/public/foto/fw23---parosh%20pre---d431539perform064.jpg,http://specialshop.atelier98.net/public/foto/fw23---parosh%20pre---d431539perform064_1_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---parosh%20pre---d431539perform064_2_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---parosh%20pre---d431539perform064_3_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---parosh%20pre---d431539perform064_4_p.jpg","Cruelty-free shearling, wide classic lapels, belted style, long sleeves, mid-length and straight hem.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size S,China,"Outer: 100% Polyester Lining: Polyester 55%, Viscose 45%",ECO FUR
ATHENA SATINCHAMPAGNE,ATHENA LONG SILK DRESS,Abito lungo s/m,THE NINA STUDIO,345.00,110.29,Spring Summer 24 Collection,Beige,"Abito lungo s/m,Beige,Spring Summer 24 Collection",THE,"http://specialshop.atelier98.net/public/foto/ss24---the%20nina%20studio---athenasatinchampagne.jpg,http://specialshop.atelier98.net/public/foto/ss24---the%20nina%20studio---athenasatinchampagne_1_p.jpg","Long beige dress, V-neck, sleeveless with crossed straps on the back.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size S,Italy,Polyester 97% Elastane 3%,SILK
PWCC070S24FAB001 1010,PLEATED SKIRT WITH MONOGRAM,Gonna,PALM ANGELS,365.00,122.66,Spring Summer 24 Collection,Nero,"Gonna,Nero,Spring Summer 24 Collection","S,M,THE","http://specialshop.atelier98.net/public/foto/ss24---palm%20angels%20main---pwcc070s24fab0011010.jpg,http://specialshop.atelier98.net/public/foto/ss24---palm%20angels%20main---pwcc070s24fab0011010_1_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---palm%20angels%20main---pwcc070s24fab0011010_2_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---palm%20angels%20main---pwcc070s24fab0011010_3_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---palm%20angels%20main---pwcc070s24fab0011010_4_p.jpg","Black, cotton, piqué weave, fully pleated, embroidered monogram on the front, unlined, thigh-length, side fastening with snap button and zip.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size S,Italy,"Cotton 100%, Polyester 100%",COTTON
MAD214F066 D2968132,WOOL AND SILK BLEND TURTLENECK SWEATER,Maglia c.alto,FABIANA FILIPPI,840.00,309.84,New Fall Winter 24 collection,Grigio,"Maglia c.alto,Grigio,New Fall Winter 24 collection","38,44,46","http://specialshop.atelier98.net/public/foto/fw24---fabiana%20filippi%20pre---mad214f066d2968132.jpg,http://specialshop.atelier98.net/public/foto/fw24---fabiana%20filippi%20pre---mad214f066d2968132_1_p.jpg,http://specialshop.atelier98.net/public/foto/fw24---fabiana%20filippi%20pre---mad214f066d2968132_2_p.jpg,http://specialshop.atelier98.net/public/foto/fw24---fabiana%20filippi%20pre---mad214f066d2968132_3_p.jpg,http://specialshop.atelier98.net/public/foto/fw24---fabiana%20filippi%20pre---mad214f066d2968132_4_p.jpg","Grey, virgin wool blend, sequin decoration, ribbed trim, high neck, long sleeves and straight hem.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size 40 (IT),Italy,Virgin wool 48% Silk 20% Cashmere 17% Alpaca 11% Polyester 4%,WOOL SILK
233DR079 1495990,I DRESS THE SAUDADE BRODÉE,Abito corto s/m,JACQUEMUS,850.00,334.43,Spring Summer 24 Collection,Nero,"Abito corto s/m,Nero,Spring Summer 24 Collection","34,38","http://specialshop.atelier98.net/public/foto/ss24---jacquemus---233dr0791495990.jpg,http://specialshop.atelier98.net/public/foto/ss24---jacquemus---233dr0791495990_1_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---jacquemus---233dr0791495990_2_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---jacquemus---233dr0791495990_3_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---jacquemus---233dr0791495990_4_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---jacquemus---233dr0791495990_5_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---jacquemus---233dr0791495990_6_p.jpg","Black, satin fabric, tulle insert, floral embroidery, ruffled detail, square neckline, back fastening with buckle, adjustable spaghetti straps, draped detail, open back, asymmetric hem and above the knee height.",This item fits true to size. We suggest you take your size The model is 1.75m tall and wears size 36 (FR),Romania,"Outer: Polyamide 100%, Viscose 96%, Spandex/Elastane 4% Lining: Cotton 48%, Acetate 47%, Spandex/Elastane 5%",VISCOSE
ALBAMIDIDRESS BLACK/OFFWHITEPOIS,SILK POLKA DOT MIDI DRESS,Abito corto m/l,CRIDA,540.00,163.77,Fall Winter 23 Collection,Nero,"Abito corto m/l,Nero,Fall Winter 23 Collection","2,3","http://specialshop.atelier98.net/public/foto/fw23---crida---albamididressblack()offwhitepois.jpg,http://specialshop.atelier98.net/public/foto/fw23---crida---albamididressblack()offwhitepois_1_p.jpg","Black dress, polka dots, button fastening, bow on the neck, long, hidden side pockets.",This item fits true to size. We suggest you take your size The model is 1.75m tall and wears size 1 (NUM),Italy,SILK 100%,SILK
MAD214F111 N12825,WOOL AND SILK BLEND TURTLENECK SWEATER,Maglia c.alto,FABIANA FILIPPI,590.00,217.62,New Fall Winter 24 collection,Beige,"Maglia c.alto,Beige,New Fall Winter 24 collection","S,M,THE","http://specialshop.atelier98.net/public/foto/fw24---fabiana%20filippi%20pre---mad214f111n12825.jpg,http://specialshop.atelier98.net/public/foto/fw24---fabiana%20filippi%20pre---mad214f111n12825_1_p.jpg,http://specialshop.atelier98.net/public/foto/fw24---fabiana%20filippi%20pre---mad214f111n12825_2_p.jpg,http://specialshop.atelier98.net/public/foto/fw24---fabiana%20filippi%20pre---mad214f111n12825_3_p.jpg,http://specialshop.atelier98.net/public/foto/fw24---fabiana%20filippi%20pre---mad214f111n12825_4_p.jpg","Cream white, silk and wool blend, ribbed knit, high collar, ribbed hem and cuffs and long sleeves.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size S,Italy,Virgin wool 75% Silk 15% Cashmere 10%,WOOL SILK
241PA108 1322990,THE APOLLO PANTS,Pantalone,JACQUEMUS,590.00,178.93,Spring Summer 24 Collection,Nero,"Pantalone,Nero,Spring Summer 24 Collection",40,"http://specialshop.atelier98.net/public/foto/ss24---jacquemus---241pa1081322990.jpg,http://specialshop.atelier98.net/public/foto/ss24---jacquemus---241pa1081322990_1_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---jacquemus---241pa1081322990_2_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---jacquemus---241pa1081322990_3_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---jacquemus---241pa1081322990_4_p.jpg","Black trousers, stretch design, stitching detail, concealed front fastening, flared fit, two back welt pockets, straight hem and longline design.",This item fits true to size. We suggest you take your size The model is 1.75m tall and wears size 36 (FR),Portugal,Acetate 75% Polyamide 20% Elastane 5%,ACETATE
WDR034 UKNI0001GN45,LONG WOOL DRESS,Abito lungo m/l,MARINE SERRE,"1.850,00","667,21",Fall Winter 23 Collection,Verde,"Abito lungo m/l,Verde,Fall Winter 23 Collection","S,M","http://specialshop.atelier98.net/public/foto/fw23---marine%20serre---wdr034ukni0001gn45.jpg,http://specialshop.atelier98.net/public/foto/fw23---marine%20serre---wdr034ukni0001gn45_1_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---marine%20serre---wdr034ukni0001gn45_2_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---marine%20serre---wdr034ukni0001gn45_3_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---marine%20serre---wdr034ukni0001gn45_4_p.jpg","Multicolour, cotton, wool, recycled polyamide blend, colour-block design, ribbed detail, long sleeves, straight hem and round neckline.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size S,Italy,"Cotton 100%, Wool 100%, Recycled Polyamide 86%, Elastane 14%",WOOL
B7222 322852,LINEN AND COTTON BLEND SWEATER WITH BOAT NECKLINE,Maglia s/barca,BASE,220.00,82.95,Spring Summer 24 Collection,Blu,"Maglia s/barca,Blu,Spring Summer 24 Collection",42,"http://specialshop.atelier98.net/public/foto/ss24---base---b7222322852.jpg,http://specialshop.atelier98.net/public/foto/ss24---base---b7222322852_1_p.jpg",3/4 balloon sleeve sweater with crew neck and straight ribbed hem.,This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size 40 (IT),Italy,Linen 64% Cotton 36%,LINEN COTTON
D410552 PERFORM013,LONG ECO FUR VEST,Gilet,PAROSH,418.00,113.07,Fall Winter 23 Collection,Nero,"Gilet,Nero,Fall Winter 23 Collection",XS,"http://specialshop.atelier98.net/public/foto/fw23---parosh%20pre---d410552perform013.jpg,http://specialshop.atelier98.net/public/foto/fw23---parosh%20pre---d410552perform013_1_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---parosh%20pre---d410552perform013_2_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---parosh%20pre---d410552perform013_3_p.jpg","Black, cruelty-free fur design, round neck, sleeveless, belted style, center back slit and mid-length.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size S,China,"Lining: Polyester 55%, Viscose 45% Outer: 100% Polyester",ECO FUR
759564 ZAN3L1000,SINGLE BREASTED TWEED JACKET,Giacca,GUCCI,"2.890,00","1.373,93",Spring Summer 24 Collection,Nero,"Giacca,Nero,Spring Summer 24 Collection","42,44","http://specialshop.atelier98.net/public/foto/ss24---gucci%20cruise---759564zan3l1000.jpg,http://specialshop.atelier98.net/public/foto/ss24---gucci%20cruise---759564zan3l1000_1_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---gucci%20cruise---759564zan3l1000_2_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---gucci%20cruise---759564zan3l1000_3_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---gucci%20cruise---759564zan3l1000_4_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---gucci%20cruise---759564zan3l1000_5_p.jpg","Black, wool, melange effect, tweed details, signature GG logo, internal logo patch, front button fastening, V-neck, long sleeves, buttoned cuffs, three front patch pockets and straight hem.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size 40 (IT),Italy,WOOL 100%,WOOL
MAD214F111 N128825,WOOL AND SILK BLEND TURTLENECK SWEATER,Maglia c.alto,FABIANA FILIPPI,590.00,217.62,New Fall Winter 24 collection,Nero,"Maglia c.alto,Nero,New Fall Winter 24 collection","XS,S,M","http://specialshop.atelier98.net/public/foto/fw24---fabiana%20filippi%20pre---mad214f111n128825.jpg,http://specialshop.atelier98.net/public/foto/fw24---fabiana%20filippi%20pre---mad214f111n128825_1_p.jpg","Black, silk and wool blend, ribbed knit, high neck, ribbed hem and cuffs and long sleeves.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size S,Italy,Wool 100%,WOOL SILK
241PA003 1333990,THE RED PANTS,Pantalone,JACQUEMUS,590.00,193.44,Spring Summer 24 Collection,Nero,"Pantalone,Nero,Spring Summer 24 Collection","34,36,38,40","http://specialshop.atelier98.net/public/foto/ss24---jacquemus---241pa0031333990.jpg,http://specialshop.atelier98.net/public/foto/ss24---jacquemus---241pa0031333990_1_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---jacquemus---241pa0031333990_2_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---jacquemus---241pa0031333990_3_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---jacquemus---241pa0031333990_4_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---jacquemus---241pa0031333990_5_p.jpg","High-waisted trousers, straight leg, belt loops at the waist, two front pockets and zip and button fastening.",This item fits true to size. We suggest you take your size The model is 1.75m tall and wears size 36 (FR),Bulgaria,Wool or fine animal hair->Virgin Wool100.0 % Synthetic->Spandex/Elastane3.0 % Natural (Veg)->Cotton97.0 %,WOOL
